,Close,Date,High,Low,Market Cap,Open,Volume
80,0.076772,"Apr 05, 2018",0.078353,0.073705,"14,102,200",0.076228,"5,743,450"
81,0.076194,"Apr 04, 2018",0.087960,0.074504,"16,272,600",0.087960,"5,339,400"
82,0.087823,"Apr 03, 2018",0.088704,0.080434,"14,980,900",0.080978,"4,937,590"
83,0.080821,"Apr 02, 2018",0.087663,0.080043,"15,599,300",0.084321,"5,260,890"
84,0.083663,"Apr 01, 2018",0.092550,0.077758,"16,950,900",0.091627,"6,985,680"
85,0.091679,"Mar 31, 2018",0.101868,0.090732,"17,800,300",0.096218,"7,677,300"
86,0.096821,"Mar 30, 2018",0.103930,0.092070,"17,970,900",0.097140,"7,666,140"
87,0.097379,"Mar 29, 2018",0.136073,0.096224,"21,433,800",0.115858,"7,545,440"
88,0.115725,"Mar 28, 2018",0.202126,0.096456,"18,082,500",0.097743,"13,739,700"
89,0.097705,"Mar 27, 2018",0.107165,0.097496,"19,706,300",0.106520,"7,375,450"
90,0.106614,"Mar 26, 2018",0.110606,0.102156,"20,193,600",0.109154,"10,317,200"
91,0.109310,"Mar 25, 2018",0.113553,0.107849,"20,698,000",0.111881,"9,544,620"
92,0.113049,"Mar 24, 2018",0.118984,0.112359,"21,049,200",0.113779,"9,976,390"
93,0.112544,"Mar 23, 2018",0.112544,0.103674,"20,413,900",0.110346,"9,443,810"
94,0.110530,"Mar 22, 2018",0.115696,0.104240,"20,659,900",0.111675,"8,135,300"
95,0.111723,"Mar 21, 2018",0.118969,0.109935,"20,785,000",0.112352,"10,239,400"
96,0.111859,"Mar 20, 2018",0.114009,0.102569,"20,240,000",0.109405,"9,947,100"
97,0.108655,"Mar 19, 2018",0.115729,0.105003,"20,000,500",0.108111,"11,004,000"
98,0.108326,"Mar 18, 2018",0.110381,0.088865,"19,983,900",0.108021,"11,262,700"
99,0.108284,"Mar 17, 2018",0.121816,0.108014,"22,129,600",0.119619,"10,650,700"
100,0.119553,"Mar 16, 2018",0.127358,0.116230,"23,341,200",0.126169,"11,531,900"
101,0.126458,"Mar 15, 2018",0.132990,0.108871,"24,421,800",0.132010,"13,171,700"
102,0.131793,"Mar 14, 2018",0.154691,0.127714,"27,945,600",0.151057,"13,306,200"
103,0.151156,"Mar 13, 2018",0.162191,0.149838,"29,493,500",0.159424,"12,573,500"
104,0.159791,"Mar 12, 2018",0.174339,0.155479,"31,513,500",0.170343,"14,945,200"
105,0.170346,"Mar 11, 2018",0.172682,0.151461,"29,045,300",0.157002,"14,349,000"
106,0.157519,"Mar 10, 2018",0.171057,0.156208,"29,913,300",0.161693,"15,085,000"
107,0.161153,"Mar 09, 2018",0.161537,0.133949,"28,653,500",0.154884,"15,801,100"
108,0.155080,"Mar 08, 2018",0.185687,0.148655,"33,917,300",0.183337,"15,708,900"
109,0.183624,"Mar 07, 2018",0.218994,0.173551,"40,270,900",0.217681,"15,007,600"
110,0.217897,"Mar 06, 2018",0.245036,0.217406,"43,483,600",0.235047,"12,839,000"
111,0.235045,"Mar 05, 2018",0.257855,0.234258,"44,018,100",0.237936,"17,363,900"
112,0.237912,"Mar 04, 2018",0.241869,0.230893,"44,197,800",0.238907,"16,587,200"
113,0.239005,"Mar 03, 2018",0.248300,0.230574,"43,785,500",0.236678,"8,668,020"
114,0.236822,"Mar 02, 2018",0.250546,0.233320,"46,079,700",0.249079,"11,004,700"
115,0.249166,"Mar 01, 2018",0.256058,0.238978,"44,864,700",0.242512,"13,552,700"
116,0.242505,"Feb 28, 2018",0.267075,0.228998,"49,409,000",0.267075,"13,046,100"
117,0.267110,"Feb 27, 2018",0.268612,0.206241,"47,500,600",0.256760,"10,803,200"
118,0.255799,"Feb 26, 2018",0.264523,0.241248,"48,519,700",0.262269,"5,434,050"
119,0.262494,"Feb 25, 2018",0.270165,0.247349,"49,344,200",0.266726,"5,374,870"
120,0.267224,"Feb 24, 2018",0.279777,0.261714,"51,499,300",0.278375,"5,744,500"
121,0.278194,"Feb 23, 2018",0.289007,0.270784,"51,106,700",0.276252,"5,723,440"
122,0.276155,"Feb 22, 2018",0.312758,0.270284,"54,394,400",0.294024,"5,423,570"
123,0.294372,"Feb 21, 2018",0.348172,0.257395,"49,863,800",0.269534,"8,088,090"
124,0.270059,"Feb 20, 2018",0.306480,0.265334,-,0.301287,"4,839,020"
125,0.301347,"Feb 19, 2018",0.319819,0.300770,-,0.310824,"6,155,920"
126,0.313630,"Feb 18, 2018",0.354956,0.310053,-,0.354631,"5,882,590"
127,0.352174,"Feb 17, 2018",0.358548,0.337138,-,0.339191,"6,849,540"
128,0.339166,"Feb 16, 2018",0.352084,0.327884,-,0.343151,"6,425,190"
129,0.342879,"Feb 15, 2018",0.353982,0.324624,-,0.337991,"6,426,900"
130,0.337774,"Feb 14, 2018",0.347111,0.287311,-,0.292128,"6,623,740"
131,0.291780,"Feb 13, 2018",0.313411,0.286314,-,0.310907,"5,238,760"
132,0.310603,"Feb 12, 2018",0.336967,0.292625,-,0.295652,"5,191,790"
133,0.293596,"Feb 11, 2018",0.334588,0.280198,-,0.334588,"4,434,940"
134,0.335767,"Feb 10, 2018",0.375206,0.317789,-,0.356302,"3,199,060"
135,0.356039,"Feb 09, 2018",0.371323,0.315388,-,0.352784,"8,048,130"
136,0.355163,"Feb 08, 2018",0.387507,0.337520,-,0.346028,"7,552,860"
137,0.347640,"Feb 07, 2018",0.404085,0.347640,-,0.376164,"6,349,670"
138,0.317545,"Feb 03, 2018",0.318502,0.317545,-,0.318502,"122,744"
